report_file,report_month,street_address,neighborhood,zip_code,county,docket_number,case_status,closing_date,close_code,monthly_mci_incr_per_room,name,claim_cost,allow_cost
february-2025-mci-closed-case-report.pdf,2025-02,2020 GRAND AVE,BRONX,10453,BRONX,MR630017OM,CLOSED,02/11/2025,GP,44.33,EXT/FACADE RESTORATN,564570.00,563180.66
february-2025-mci-closed-case-report.pdf,2025-02,2020 GRAND AVE,BRONX,10453,BRONX,MR630017OM,CLOSED,02/11/2025,GP,44.33,PARAPETS,733430.00,733430.00
february-2025-mci-closed-case-report.pdf,2025-02,2150 WALLACE AVE,BRONX,10462,BRONX,MR610007OM,CLOSED,02/05/2025,GP,7.74,BOILER/BURNER,289000.00,286829.92
february-2025-mci-closed-case-report.pdf,2025-02,2165 CHATTERTON AVE,BRONX,10472,BRONX,MS610005OM,CLOSED,02/18/2025,GP,18.06,EXT/FACADE RESTORATN,736848.39,716047.83
february-2025-mci-closed-case-report.pdf,2025-02,2165 CHATTERTON AVE,BRONX,10472,BRONX,MS610005OM,CLOSED,02/18/2025,GP,18.06,ENGINEERING FEES,35000.00,0.00
february-2025-mci-closed-case-report.pdf,2025-02,1110 COLLEGE AVE,BRONX,10456,BRONX,MO610033OM,CLOSED,02/24/2025,GP,2.06,TV/SECURITY SYSTEM,20844.02,16000.00
february-2025-mci-closed-case-report.pdf,2025-02,4303 BAYCHESTER AVE,BRONX,10466,BRONX,MS610013OM,CLOSED,02/13/2025,GR,10.75,NEW ROOF,97500.00,97500.00
february-2025-mci-closed-case-report.pdf,2025-02,30 PILOT ST,BRONX,10464,BRONX,NM610004OM,CLOSED,02/04/2025,VO,,,,
february-2025-mci-closed-case-report.pdf,2025-02,105 BUCKINGHAM RD,BROOKLYN,11226,KINGS,LS210007OM,CLOSED,02/11/2025,GP,7.35,BOILER/BURNER,139896.00,136433.87
february-2025-mci-closed-case-report.pdf,2025-02,105 BUCKINGHAM RD,BROOKLYN,11226,KINGS,LS210007OM,CLOSED,02/11/2025,GP,7.35,CHIMNEY LINER,34860.00,34244.84
february-2025-mci-closed-case-report.pdf,2025-02,105 BUCKINGHAM RD,BROOKLYN,11226,KINGS,LS210007OM,CLOSED,02/11/2025,GP,7.35,FUEL STORAGE TANK,54270.00,43162.60
february-2025-mci-closed-case-report.pdf,2025-02,1319 NEWKIRK AVE,BROOKLYN,11230,KINGS,MO210018OM,CLOSED,02/19/2025,GP,6.85,REWIRING,69969.72,69067.32
february-2025-mci-closed-case-report.pdf,2025-02,1600 CATON AVE,BROOKLYN,11226,KINGS,MM210029OM,CLOSED,02/05/2025,GR,12.21,NEW ROOF,369000.00,369000.00
february-2025-mci-closed-case-report.pdf,2025-02,1600 CATON AVE,BROOKLYN,11226,KINGS,MM210029OM,CLOSED,02/05/2025,GR,12.21,ASBESTOS ABATEMENT,141800.00,141800.00
february-2025-mci-closed-case-report.pdf,2025-02,845 W END AVE,NEW YORK,10025,MANHATTAN,HN430119OM,CLOSED,02/28/2025,GP,15.49,FACADE RESTORATION,495987.39,371705.52
february-2025-mci-closed-case-report.pdf,2025-02,845 W END AVE,NEW YORK,10025,MANHATTAN,HN430119OM,CLOSED,02/28/2025,GP,15.49,ENGINEERING FEE,85115.49,0.00
february-2025-mci-closed-case-report.pdf,2025-02,29 TO 31 CHARLES ST,NEW YORK,10014,MANHATTAN,MU430025OM,CLOSED,02/21/2025,GR,0.61,LOBBY/VESTIBULE DOOR,12634.28,12634.28
february-2025-mci-closed-case-report.pdf,2025-02,92 TO 102 PINEHURST AVE,NEW YORK,10033,MANHATTAN,IW430030OM,CLOSED,02/20/2025,DE,,NEW ROOF,316000.00,
february-2025-mci-closed-case-report.pdf,2025-02,92 TO 102 PINEHURST AVE,NEW YORK,10033,MANHATTAN,IW430030OM,CLOSED,02/20/2025,DE,,EXPEDITING FEES,5775.00,
february-2025-mci-closed-case-report.pdf,2025-02,92 TO 102 PINEHURST AVE,NEW YORK,10033,MANHATTAN,IW430030OM,CLOSED,02/20/2025,DE,,AIR MONITORING,16490.00,
february-2025-mci-closed-case-report.pdf,2025-02,92 TO 102 PINEHURST AVE,NEW YORK,10033,MANHATTAN,IW430030OM,CLOSED,02/20/2025,DE,,ASBESTOS ABATEMENT,127900.00,
february-2025-mci-closed-case-report.pdf,2025-02,92 TO 102 PINEHURST AVE,NEW YORK,10033,MANHATTAN,IW430030OM,CLOSED,02/20/2025,DE,,ENGINEERING FEES,11200.00,
february-2025-mci-closed-case-report.pdf,2025-02,10 COOPER ST,NEW YORK,10034,MANHATTAN,LW430016OM,CLOSED,02/12/2025,GP,3.93,ELEVATOR UPGRADING,141569.00,141429.00
